relativetimestamp,antennastate,prxetc,phaserads,x,y,epc96
3550066,0,15.70596958,1.705786636,0,1,e280116060000209e445ba0a
3562666,0,15.70596958,1.699650713,0,1,e280116060000209e445ba0a
3590128,0,15.70596958,1.681242944,0,1,e280116060000209e445ba0a
3610247,0,15.70596958,1.724194406,0,1,e280116060000209e445ba0a
3630378,0,15.70596958,1.699650713,0,1,e280116060000209e445ba0a
3642889,0,15.70596958,1.656699251,0,1,e280116060000209e445ba0a
3656631,0,15.70596958,1.705786636,0,1,e280116060000209e445ba0a
3692051,0,15.70596958,1.681242944,0,1,e280116060000209e445ba0a
3721489,0,15.70596958,1.736466252,0,1,e280116060000209e445ba0a
3758113,0,15.70593773,2.110757564,0,1,e280116060000209e445ba0a
3791497,0,15.70593773,2.147573103,0,1,e280116060000209e445ba0a
3806918,0,15.70593773,2.159844949,0,1,e280116060000209e445ba0a
3831531,0,15.70593773,2.086213872,0,1,e280116060000209e445ba0a
3853770,0,15.70593773,2.178252719,0,1,e280116060000209e445ba0a
3881746,0,15.70593773,2.098485718,0,1,e280116060000209e445ba0a
3911394,0,15.70593773,2.129165334,0,1,e280116060000209e445ba0a
3947736,0,15.70593773,2.092349795,0,1,e280116060000209e445ba0a
3966854,0,15.70590059,1.043106936,0,1,e280116060000209e445ba0a
3994058,0,15.70590059,1.000155474,0,1,e280116060000209e445ba0a
4022935,0,15.70590059,0.981747704,0,1,e280116060000209e445ba0a
4052086,0,15.70590059,0.975611781,0,1,e280116060000209e445ba0a
4071188,0,15.70590059,1.061514705,0,1,e280116060000209e445ba0a
4092902,0,15.70590059,1.000155474,0,1,e280116060000209e445ba0a
4105116,0,15.70590059,0.963339935,0,1,e280116060000209e445ba0a
4123528,0,15.70590059,0.994019551,0,1,e280116060000209e445ba0a
4154327,0,15.70590059,1.01242732,0,1,e280116060000209e445ba0a
4171857,0,32.70585817,4.71238898,1,1,e280116060000209e445f01a
4200208,0,16.70585817,3.988350049,0,1,e280116060000209e445ba0a
4220506,0,32.70585817,4.638757903,1,1,e280116060000209e445f01a
4240132,0,16.70585817,4.000621895,0,1,e280116060000209e445ba0a
4253724,0,16.70585817,3.982214125,0,1,e280116060000209e445ba0a
4289994,0,32.70585817,0.141126232,1,0,e280116060000209e4454c2a
4302600,0,32.70585817,0.055223308,1,0,e280116060000209e4454c2a
4315304,0,33.70585817,6.246369768,1,0,e280116060000209e4454c2a
4340595,0,31.70585817,4.565126825,1,1,e280116060000209e445f01a
4352989,0,16.70585817,3.988350049,0,1,e280116060000209e445ba0a
4366326,0,15.70581048,2.276427489,0,1,e280116060000209e445ba0a
4390650,0,32.70581048,3.976078202,1,0,e280116060000209e4454c2a
4410237,0,15.70581048,2.350058567,0,1,e280116060000209e445ba0a
4422742,0,15.70581048,2.208932335,0,1,e280116060000209e445ba0a
4436932,0,15.70581048,2.221204181,0,1,e280116060000209e445ba0a
4461796,0,15.70581048,2.294835259,0,1,e280116060000209e445ba0a
4481546,0,31.70581048,4.172427743,1,0,e280116060000209e4454c2a
4510030,0,15.70581048,2.319378951,0,1,e280116060000209e445ba0a
4525971,0,15.70581048,2.276427489,0,1,e280116060000209e445ba0a
4550315,0,15.70581048,2.245747873,0,1,e280116060000209e445ba0a
4568907,0,16.70575751,4.853515213,0,1,e280116060000209e445ba0a
4581629,0,32.70575751,0.951068088,1,0,e280116060000209e4454c2a
4593643,0,33.70575751,5.638913376,1,1,e280116060000209e445f01a
4620360,0,31.70575751,5.442563835,1,1,e280116060000209e445f01a
4640480,0,16.70575751,4.84737929,0,1,e280116060000209e445ba0a
4660231,0,16.70575751,4.835107443,0,1,e280116060000209e445ba0a
4673239,0,31.70575751,5.657321146,1,1,e280116060000209e445f01a
4700048,0,33.70575751,1.11060209,1,0,e280116060000209e4454c2a
4720307,0,32.70575751,5.878214379,1,1,e280116060000209e445f01a
4733419,0,32.70575751,1.902136177,0,0,e280116060000209e4454a0a
4760021,0,31.70575751,5.583690068,1,1,e280116060000209e445f01a
4780165,0,15.70569928,1.368310863,0,1,e280116060000209e445ba0a
4800579,0,15.70569928,1.349903093,0,1,e280116060000209e445ba0a
4813218,0,15.70569928,1.380582709,0,1,e280116060000209e445ba0a
4826765,1,15.70569928,1.386718632,0,1,e280116060000209e445ba0a
4862404,1,15.70569928,1.368310863,0,1,e280116060000209e445ba0a
4892352,1,15.70569928,1.380582709,0,1,e280116060000209e445ba0a
4921460,1,15.70569928,1.356039016,0,1,e280116060000209e445ba0a
4951592,1,15.70569928,1.398990479,0,1,e280116060000209e445ba0a
4965608,1,15.70569928,1.417398248,0,1,e280116060000209e445ba0a
4985183,1,16.70563578,3.83495197,0,1,e280116060000209e445ba0a
5009998,1,31.70563578,6.07456392,1,0,e280116060000209e4454c2a
5041463,1,31.70563578,0.012271846,1,0,e280116060000209e4454c2a
5070186,1,16.70563578,3.828816047,0,1,e280116060000209e445ba0a
5090209,1,31.70563578,4.804427828,1,1,e280116060000209e445f01a
5110238,1,16.70563578,3.822680123,0,1,e280116060000209e445ba0a
5130370,1,16.70563578,3.859495662,0,1,e280116060000209e445ba0a
5150782,1,33.70563578,5.663457069,1,0,e280116060000209e4454c2a
5170098,1,16.70563578,3.847223816,0,1,e280116060000209e445ba0a
5190337,1,16.70556704,3.552699505,0,1,e280116060000209e445ba0a
5203222,1,15.70556704,3.589515044,0,1,e280116060000209e445ba0a
5230563,1,16.70556704,3.577243197,0,1,e280116060000209e445ba0a
5250087,1,15.70556704,3.589515044,0,1,e280116060000209e445ba0a
5262775,1,16.70556704,3.589515044,0,1,e280116060000209e445ba0a
5290419,1,33.70556704,5.436427912,1,0,e280116060000209e4454c2a
5302875,1,15.70556704,3.571107274,0,1,e280116060000209e445ba0a
